,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID
0,56.87563910832758,110.94,120.39,142.99,22.17237755415495,136.61,141.52,149.92,7.284961953246074,146.98,148.37,150.18,1102,1,1.2154842736417095,-24.81372842438457,0.1951425765099304,Torp
1,58.597964557167,113.57,122.61,145.78,21.527084832802224,137.82,142.04,147.97,7.435803874392743,143.32,144.33,144.76,1103,1,2.5256976335600543,-24.378695120025288,0.92651731508496,Informer
2,57.237843856672406,110.53,118.78,141.08,28.11894526234645,136.82,142.13,153.62,8.669016130325819,149.5,150.18,150.84,1104,1,2.222993403795021,-25.35777109946953,0.7988546677239555,Claire
3,63.46440296649376,130.36,136.18,155.63,39.788719912995774,145.27,148.34,159.17,22.172859537727923,152.47,155.66,163.73,1105,1,5.704717442209035,-25.992775235248235,1.7412934539909064,RW41640
4,63.83972355262562,111.84,119.37,144.33,19.50745980220536,135.23,138.42,145.79,6.888761859133117,147.22,148.93,148.34,1106,1,2.058995787267871,-24.026313590478555,0.7222183820347544,KWS Montana
5,54.889369821418434,114.9,122.64,144.79,22.59864242130862,138.38,142.34,150.62,11.851152724617494,153.02,155.43,151.3,1107,1,15.268378897675351,-24.604994325758145,2.725783951032707,Sj N1127
6,61.98454959190399,114.34,124.16,145.51,21.7886174263364,134.47,137.44,145.4,6.31159093918358,145.54,146.33,147.42,1108,1,2.489684816184868,-24.722696625547083,0.9121561226192768,Benchmark
7,44.977172120728426,108.46,117.6,135.97,17.02752772202773,135.35,135.69,138.65,3.618983044884402,141.7,141.69,142.54,1109,1,2.307627627901612,-24.658845854678667,0.8362199958985278,Sj M0564
8,56.47403282645477,111.95,119.25,134.73,18.208724627725545,132.19,135.11,140.87,4.411066011830884,148.12,153.4,136.88,1110,1,2.528596701042113,-24.531656740034663,0.9276644852369408,Sheriff
9,56.177851361429305,114.55,124.15,144.79,21.49122158686145,136.27,139.67,146.84,8.89146938267449,148.28,148.13,145.39,1111,1,2.02362919512126,-25.19241687053139,0.7048925306498455,NOS 511167.10
10,51.18143975964772,104.22,112.25,131.14,18.329946141843266,136.08,138.65,143.63,3.3635347049282114,142.59,143.05,141.91,1112,1,1.517663496927838,-23.717618526308957,0.417171979121738,Ohio
11,60.6608369864592,111.27,122.84,144.34,25.70223587479416,134.05,136.77,144.74,4.511475997697213,144.18,142.83,143.64,1113,1,2.3623241503986567,-25.28731086386346,0.8596459439217456,512122.02
12,65.40456961399842,108.79,117.12,137.34,13.106853136672504,130.29,132.34,136.48,3.4193606740129403,142.99,143.71,142.42,1114,1,2.362369474778002,-25.40352002029589,0.859665130088275,KWS Dacanto
13,58.15236634876676,115.05,124.26,144.3,25.759538718500657,138.31,142.41,150.88,9.173266592534002,151.29,157.15,145.44,1115,1,2.2303285061082554,-26.567776946246077,0.8021488867788256,Hereford 
14,80.82360641379447,118.76,126.79,144.83,39.322622554900704,138.47,144.86,162.34,14.764194208425508,152.78,157.43,159.07,1116,1,3.9854579222077735,-26.50379497818709,1.3826522171103168,Hystar
15,53.874935715639936,108.58,119.18,138.35,25.19322674383794,137.17,147.06,152.05,10.248685626959649,152.64,156.68,151.43,1117,1,103.0543222004163,-25.76736880433072,4.635256249207175,Sj L288
16,82.78620454986772,123.27,132.7,159.68,42.322028843299215,147.5,156.43,174.85,24.560902256540537,165.48,169.77,176.71,1118,1,87.1085395001822,-26.30016128359013,4.467154921534607,KWS Dacanto
17,79.3565295898231,133.92,137.77,167.03,51.01040184315325,156.71,165.4,186.23,30.86876574180464,172.2,177.3,187.93,1119,1,157.29278831528168,-26.0722974657126,5.058108962320817,Sj L624
18,79.79116936333962,125.72,132.8,161.68,42.73080896445811,149.85,156.18,171.08,19.61449153040546,159.02,162.32,167.66,1120,1,247.82012725317315,-26.193334450783283,5.512703189678543,Sheriff
19,86.49342412391464,120.8,131.57,163.5,45.6805483441381,152.52,160.48,180.19,21.42885542518912,160.4,166.4,171.66,1121,1,141.3664557041973,-26.57383646691887,4.951355495504299,511016.09
20,69.43764827769752,136.87,138.2,149.26,47.87430230133424,147.58,152.61,173.13,24.76509894385339,148.95,146.57,169.28,1122,1,1.5140540522364112,-24.74974720747711,0.4147908559872242,Ohio
21,94.98572960518456,130.91,136.48,163.11,56.04386010709735,156.47,161.74,181.46,41.93397395158799,157.3,161.8,177.38,1123,1,24.990439734457706,-26.627035546641093,3.2184933411089207,NOS 511082.28
22,73.27260243929919,124.26,130.35,154.1,37.15371285913024,140.33,145.99,160.86,21.898175545628572,138.6,144.44,150.58,1124,1,26.43689085620805,-25.294422515322943,3.2747604156411194,KWS Montana
23,64.67498458771699,113.84,125.61,146.27,34.87861606878363,145.91,149.26,161.1,27.468086715552356,149.25,152.55,162.75,1125,1,50.219594343875976,-26.03068796310258,3.916405276115692,Sj L037
24,64.57283156514431,123.05,131.74,148.75,30.063649567821496,144.86,150.4,161.02,21.391753561893918,146.51,151.35,150.17,1126,1,18.12945014662521,-26.232605557120944,2.897537695935373,Claire
25,59.50364765848735,120.85,127.25,145.42,33.01114881039738,157.22,164.35,174.82,29.60429759468364,166.93,170.8,160.75,1127,1,60.94139182692013,-25.60137470257013,4.109912612596391,512070.03
26,53.19544374439942,114.61,124.77,142.29,21.33571492071124,142.06,147.63,149.92,15.333105027890957,143.54,150.68,134.25,1128,1,9.42605725212132,-26.300504656130556,2.243477902334284,Torp
27,84.34309442338086,135.77,141.84,168.91,50.22891990890986,155.45,162.24,180.36,38.77724611343187,167.41,167.37,180.52,1129,1,24.514079141986823,-25.836391271299348,3.1992476113541155,Ohio
28,62.18499318599325,149.78,146.92,158.05,41.57092302591192,147.6,154.33,169.83,38.21391933707797,151.04,156.74,168.48,1130,1,2.310956152469253,-25.813972802000325,0.8376613577107982,Benchmark
29,60.31416104564468,116.95,125.57,145.32,35.69833897243753,142.28,149.11,163.85,34.13353802585232,146.31,154.63,165.74,1131,1,101.74137064872984,-26.09362500467497,4.622434011377096,Sj M0351
30,58.44040474246779,123.31,132.35,146.28,35.60344797618208,144.91,150.54,164.46,32.74217920259333,148.03,153.18,165.72,1132,1,30.61308639519405,-26.208930652755704,3.4214275775115337,Sj M0498
31,62.60487029799328,132.76,138.92,158.19,38.05183817685703,148.25,155.45,170.44,32.74769747028755,150.15,156.51,165.61,1133,1,3.403244954146276,-26.11015193165084,1.2247293747519674,LG Mocca
32,60.93631676223902,123.98,132.62,149.08,33.49725569641824,148.38,156.53,167.37,27.267416359468328,152.19,160.98,157.59,1134,1,5.535932807313193,-25.8472199702702,1.7112600808344105,Julius
33,50.55729415387896,137.93,141.78,157.09,35.03990512052202,142.27,150.03,166.41,30.041520969335025,143.56,149.75,160.11,1135,1,105.4496933846188,-26.788293503952808,4.658233999235576,Kaldi
34,61.930062458888685,129.66,133.82,150.42,36.49029602416523,142.71,146.19,156.65,28.074576687133806,139.97,142.39,144.65,1136,1,64.43332105704494,-25.52333381040314,4.165630907019177,STRG 4019'14
35,61.40785597055353,108.15,117.95,143.71,25.84894320365126,142.59,145.91,153.91,14.296154284527177,141.83,144.42,135.58,1137,1,4.68757316222911,-25.645186435621834,1.5449149991169366,Sj L024
36,59.027381864687264,134.6,139.82,158.0,33.646344314543946,159.29,158.38,161.31,31.12377324787865,162.44,160.86,164.66,1138,1,155.3478493126123,-27.095064271749763,5.045666791601689,MH 15-39
37,60.35102647893791,121.5,127.82,142.48,38.25911028196225,151.27,158.48,172.06,31.45113465452622,154.22,160.21,168.37,1140,1,71.53607006455015,-26.799150197680653,4.270201798921783,Sj N1123
38,58.18536488014056,120.9,127.57,142.9,10.31854894479613,155.75,161.61,142.91,19.74585392529344,140.98,147.48,145.66,1141,1,54.18236674820475,-25.90065893483679,3.992355518763129,Sj M0567
39,54.53443039770377,126.48,131.56,144.6,22.352363459688465,143.84,147.8,151.23,20.65835492351912,140.49,145.36,148.62,1142,1,21.78636561354129,-25.936030465756183,3.081284343560256,Sj N1069
40,46.21211711300557,115.25,124.57,139.59,18.83223211319134,143.39,146.25,150.98,26.269314106439914,144.63,149.17,155.63,1143,1,55.18429225871423,-26.08578240434914,4.0106783522574805,Sj L123
41,65.77599167599364,113.31,122.15,140.27,24.070016050922803,140.01,145.01,152.59,20.809710494756008,138.87,146.31,147.23,1144,1,25.977431323558125,-26.96200805427368,3.257228135051752,Elixer
42,45.30895795819257,111.98,122.77,135.53,25.764992193346085,156.86,163.85,153.41,22.10131877858605,168.71,169.64,137.06,1145,1,79.59476614965708,-26.196468383229533,4.376948338799857,Sj N0818
43,42.4406724448441,105.74,114.37,124.86,18.427279720360588,159.21,164.02,129.27,15.42163628087517,150.58,157.43,126.06,1146,1,137.86340810956548,-26.396469471600383,4.92626339867787,Mariboss
44,55.90140718142175,124.3,127.58,139.21,24.68065957043767,141.25,147.81,153.67,18.23957911629698,145.06,150.66,143.16,1147,1,34.00624577097424,-26.19538267785112,3.5265442068918404,Drachmann
