,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
0,56.87563910832758,110.94,120.39,142.99,22.17237755415495,136.61,141.52,149.92,7.284961953246074,146.98,148.37,150.18,1102,1,1.2154842736417095,-24.81372842438457,0.1951425765099304,Torp,-19.930940619517045,-0.8838178922837714,0.2435589908972543,-1.8857938833424404,0.7027098362156394
1,58.597964557167,113.57,122.61,145.78,21.527084832802224,137.82,142.04,147.97,7.435803874392743,143.32,144.33,144.76,1103,1,2.5256976335600543,-24.378695120025288,0.92651731508496,Informer,-18.35648197722469,-0.3397942525766402,0.4676050736614,-1.1767143665641284,1.1512659755816408
2,57.237843856672406,110.53,118.78,141.08,28.11894526234645,136.82,142.13,153.62,8.669016130325819,149.5,150.18,150.84,1104,1,2.222993403795021,-25.35777109946953,0.7988546677239555,Claire,-18.73762762015776,-0.1078545016329922,0.1763736494773569,-1.3266722357218503,0.1857128311441158
3,63.46440296649376,130.36,136.18,155.63,39.788719912995774,145.27,148.34,159.17,22.172859537727923,152.47,155.66,163.73,1105,1,5.704717442209035,-25.992775235248235,1.7412934539909064,RW41640,9.25309543162755,0.0102285228322915,-0.1554902193308033,-0.4065286712516172,-0.4357684696278703
4,63.83972355262562,111.84,119.37,144.33,19.50745980220536,135.23,138.42,145.79,6.888761859133117,147.22,148.93,148.34,1106,1,2.058995787267871,-24.026313590478555,0.7222183820347544,KWS Montana,-18.761957936085604,-0.5430949954115701,0.4250580891010063,-1.447898965004487,1.5442160101485278
5,54.889369821418434,114.9,122.64,144.79,22.59864242130862,138.38,142.34,150.62,11.851152724617494,153.02,155.43,151.3,1107,1,15.268378897675351,-24.604994325758145,2.725783951032707,Sj N1127,-9.04863211245259,0.1009442962477155,0.1598159718819233,0.5333713821967483,0.9790581098756554
6,61.98454959190399,114.34,124.16,145.51,21.7886174263364,134.47,137.44,145.4,6.31159093918358,145.54,146.33,147.42,1108,1,2.489684816184868,-24.722696625547083,0.9121561226192768,Benchmark,-19.344543158215853,-0.561434274093918,0.4167319462992523,-1.3025516680133995,0.8748786450934354
7,44.977172120728426,108.46,117.6,135.97,17.02752772202773,135.35,135.69,138.65,3.618983044884402,141.7,141.69,142.54,1109,1,2.307627627901612,-24.658845854678667,0.8362199958985278,Sj M0564,-29.5985418543477,-0.6709973483801669,0.5264560667166557,-1.400783016530866,0.95225225096857
8,56.47403282645477,111.95,119.25,134.73,18.208724627725545,132.19,135.11,140.87,4.411066011830884,148.12,153.4,136.88,1110,1,2.528596701042113,-24.531656740034663,0.9276644852369408,Sheriff,-27.9028161693794,-0.171056734599942,0.3279199136660358,-1.3316337489891708,1.092964200619292
9,56.177851361429305,114.55,124.15,144.79,21.49122158686145,136.27,139.67,146.84,8.89146938267449,148.28,148.13,145.39,1111,1,2.02362919512126,-25.19241687053139,0.7048925306498455,NOS 511167.10,-19.092297781299216,-1.011003569824786,0.8179438707598535,-1.5767009253729871,0.445726905129284
10,51.18143975964772,104.22,112.25,131.14,18.329946141843266,136.08,138.65,143.63,3.3635347049282114,142.59,143.05,141.91,1112,1,1.517663496927838,-23.71761852630896,0.417171979121738,Ohio,-22.95076276857713,-0.9723115911417916,0.5967494303585419,-1.8867166986978123,1.9340480843584336
11,60.6608369864592,111.27,122.84,144.34,25.70223587479416,134.05,136.77,144.74,4.511475997697213,144.18,142.83,143.64,1113,1,2.3623241503986567,-25.28731086386346,0.8596459439217456,512122.02,-16.632283217173143,-1.050527572282161,0.3430771005160215,-1.4665379556945224,0.3778785818106485
12,65.40456961399842,108.79,117.12,137.34,13.106853136672504,130.29,132.34,136.48,3.4193606740129403,142.99,143.71,142.42,1114,1,2.362369474778002,-25.40352002029589,0.859665130088275,KWS Dacanto,-33.9003722175055,-0.9786896108305078,0.4518546572559305,-1.4888139913247107,0.2751922603849372
13,58.15236634876676,115.05,124.26,144.3,25.759538718500657,138.31,142.41,150.88,9.173266592534002,151.29,157.15,145.44,1115,1,2.2303285061082554,-26.56777694624608,0.8021488867788256,Hereford ,-10.692509803285304,0.0892248876519866,0.1719841030037079,-1.5686254564308777,-0.8755418305585323
14,80.82360641379447,118.76,126.79,144.83,39.322622554900704,138.47,144.86,162.34,14.764194208425508,152.78,157.43,159.07,1116,1,3.9854579222077735,-26.50379497818709,1.3826522171103168,Hystar,5.680606092602911,0.2948171128550687,-0.0263214302162982,-1.010417347896104,-0.7980370274928283
15,53.874935715639936,108.58,119.18,138.35,25.19322674383794,137.17,147.06,152.05,10.248685626959649,152.64,156.68,151.43,1117,1,103.0543222004163,-25.76736880433072,4.635256249207175,Sj L288,-3.821250024023001,0.1867523287316493,0.1517551811807405,2.2198914624040365,-0.0480880186297376
16,82.78620454986772,123.27,132.7,159.68,42.322028843299215,147.5,156.43,174.85,24.560902256540537,165.48,169.77,176.71,1118,1,87.1085395001822,-26.30016128359013,4.467154921534607,KWS Dacanto,32.23702690532245,0.6901338436553943,-0.160659455822553,2.0294949129347506,-0.5673576628824293
