Camera,tube,Depth,Date,Root.length
Cam1_,10,1323,16/05/2019,824
Cam1_,10,1358,16/05/2019,0
Cam1_,10,1392,16/05/2019,0
Cam1_,10,1426,16/05/2019,313
Cam1_,10,1464,16/05/2019,191
Cam1_,10,1497,16/05/2019,802
Cam1_,10,1529,16/05/2019,396
Cam1_,10,1568,16/05/2019,1423
Cam1_,10,1602,16/05/2019,713
Cam1_,10,1637,16/05/2019,1150
Cam1_,10,1672,16/05/2019,1254
Cam1_,10,1708,16/05/2019,662
Cam1_,10,1741,16/05/2019,1523
Cam1_,10,1776,16/05/2019,434
Cam1_,10,1812,16/05/2019,1668
Cam1_,10,1847,16/05/2019,1004
Cam1_,10,1882,16/05/2019,1013
Cam1_,10,1916,16/05/2019,282
Cam1_,10,1953,16/05/2019,868
Cam1_,10,1988,16/05/2019,287
Cam1_,10,2020,16/05/2019,0
Cam1_,10,2056,16/05/2019,233
Cam1_,10,2091,16/05/2019,0
Cam1_,10,2126,16/05/2019,217
Cam1_,10,2161,16/05/2019,1035
Cam1_,10,2197,16/05/2019,958
Cam1_,10,2232,16/05/2019,253
Cam1_,10,2266,16/05/2019,428
Cam1_,10,2302,16/05/2019,230
Cam1_,10,2337,16/05/2019,150
Cam1_,10,2372,16/05/2019,0
Cam1_,10,2407,16/05/2019,0
Cam1_,10,2442,16/05/2019,161
Cam1_,10,2477,16/05/2019,49
Cam1_,10,2512,16/05/2019,0
Cam1_,10,2547,16/05/2019,65
Cam1_,10,2582,16/05/2019,0
Cam1_,10,2617,16/05/2019,0
Cam1_,10,2652,16/05/2019,0
Cam1_,10,2687,16/05/2019,0
Cam1_,10,2722,16/05/2019,0
Cam1_,10,2757,16/05/2019,0
Cam1_,10,2792,16/05/2019,0
Cam1_,10,2827,16/05/2019,0
Cam1_,10,2862,16/05/2019,0
Cam1_,10,2895,16/05/2019,0
Cam1_,10,2932,16/05/2019,0
Cam1_,10,2967,16/05/2019,0
Cam1_,10,3002,16/05/2019,0
Cam1_,10,3037,16/05/2019,0
Cam1_,10,3072,16/05/2019,0
Cam1_,10,3107,16/05/2019,0
Cam1_,10,3143,16/05/2019,0
Cam1_,10,3177,16/05/2019,0
Cam1_,10,3211,16/05/2019,0
Cam1_,10,3246,16/05/2019,0
Cam1_,10,3281,16/05/2019,0
Cam1_,10,3317,16/05/2019,0
Cam1_,10,3352,16/05/2019,0
Cam1_,10,3386,16/05/2019,0
Cam1_,10,3423,16/05/2019,0
Cam1_,10,3456,16/05/2019,0
Cam1_,10,3492,16/05/2019,0
Cam1_,10,3526,16/05/2019,0
Cam1_,10,3563,16/05/2019,0
Cam1_,10,3598,16/05/2019,0
Cam1_,10,3633,16/05/2019,0
Cam1_,10,3667,16/05/2019,0
Cam1_,10,3703,16/05/2019,0
Cam1_,10,3738,16/05/2019,0
Cam1_,10,3772,16/05/2019,0
Cam1_,10,3807,16/05/2019,0
Cam1_,10,3842,16/05/2019,0
Cam1_,10,3875,16/05/2019,0
Cam1_,10,3911,16/05/2019,0
Cam1_,10,3946,16/05/2019,0
Cam1_,10,3980,16/05/2019,0
Cam1_,10,4017,16/05/2019,0
Cam1_,10,4051,16/05/2019,0
Cam1_,10,4086,16/05/2019,0
Cam1_,10,4123,16/05/2019,0
Cam1_,10,4157,16/05/2019,0
Cam1_,10,4193,16/05/2019,0
Cam1_,10,4226,16/05/2019,0
Cam1_,10,4261,16/05/2019,0
Cam1_,10,4295,16/05/2019,0
Cam1_,10,4331,16/05/2019,0
Cam1_,10,4367,16/05/2019,0
Cam1_,10,4401,16/05/2019,0
Cam1_,10,4437,16/05/2019,0
Cam1_,10,4472,16/05/2019,0
Cam1_,10,4506,16/05/2019,0
Cam1_,10,4540,16/05/2019,0
Cam1_,10,4575,16/05/2019,0
Cam1_,10,4612,16/05/2019,99
Cam1_,10,4647,16/05/2019,0
Cam1_,10,4681,16/05/2019,0
Cam1_,10,4716,16/05/2019,0
Cam1_,10,4752,16/05/2019,0
Cam1_,10,4788,16/05/2019,0
Cam1_,10,4822,16/05/2019,0
Cam1_,10,4857,16/05/2019,29
Cam1_,10,4893,16/05/2019,0
Cam1_,10,4925,16/05/2019,0
Cam1_,10,4961,16/05/2019,84
Cam1_,10,5003,16/05/2019,0
Cam1_,10,517,16/05/2019,0
Cam1_,10,552,16/05/2019,6
Cam1_,10,587,16/05/2019,256
Cam1_,10,621,16/05/2019,822
Cam1_,10,656,16/05/2019,715
Cam1_,10,691,16/05/2019,687
Cam1_,10,727,16/05/2019,2413
Cam1_,10,761,16/05/2019,2260
Cam1_,10,796,16/05/2019,857
Cam1_,10,831,16/05/2019,98
Cam1_,10,867,16/05/2019,1070
Cam1_,10,902,16/05/2019,322
Cam1_,10,937,16/05/2019,903
Cam1_,10,972,16/05/2019,733
Cam3_,100,1005,16/05/2019,829
Cam3_,100,1040,16/05/2019,554
Cam3_,100,1075,16/05/2019,570
Cam3_,100,1109,16/05/2019,167
Cam3_,100,1143,16/05/2019,1368
Cam3_,100,1178,16/05/2019,1888
Cam3_,100,1214,16/05/2019,87
Cam3_,100,1251,16/05/2019,11
Cam3_,100,1287,16/05/2019,0
Cam3_,100,1319,16/05/2019,96
Cam3_,100,1357,16/05/2019,406
Cam3_,100,1390,16/05/2019,550
Cam3_,100,1424,16/05/2019,1281
Cam3_,100,1460,16/05/2019,1077
Cam3_,100,1495,16/05/2019,25
Cam3_,100,1528,16/05/2019,1654
Cam3_,100,1565,16/05/2019,2805
Cam3_,100,1601,16/05/2019,3547
Cam3_,100,1633,16/05/2019,1478
Cam3_,100,1669,16/05/2019,3062
Cam3_,100,1704,16/05/2019,1728
Cam3_,100,1737,16/05/2019,1489
Cam3_,100,1775,16/05/2019,1237
Cam3_,100,1811,16/05/2019,918
Cam3_,100,1843,16/05/2019,2333
Cam3_,100,1880,16/05/2019,1364
Cam3_,100,1914,16/05/2019,1025
Cam3_,100,1949,16/05/2019,1155
Cam3_,100,1986,16/05/2019,47
Cam3_,100,2019,16/05/2019,145
Cam3_,100,2054,16/05/2019,862
Cam3_,100,2090,16/05/2019,2756
