,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
0,63.68730482950613,125.62,136.32,161.14,75.81912542727804,149.22,155.56,184.94,59.709073063169456,159.93,161.76,188.06,1132,1,9.72335353706746,-27.75144699346963,LG_Initial,2.274530573070259,3.3494310224978303,0.1905494440334866,0.081414331344896,0.1339966675683319,0.3171016911757505
1,65.01149125176488,129.68,133.85,161.02,79.95377137980981,141.43,148.09,177.08,65.74276449317779,154.46,155.76,181.69,1133,1,2.231120652985433,-27.230850536536217,P1083,0.8025039942146627,11.523456547917196,0.2480814274425574,-0.0492596077433565,-1.3502518862862938,0.8359818240739614
2,74.65477404197752,141.79,138.77,157.31,78.36659619287222,148.01,147.24,171.06,55.88325838885097,152.24,151.68,180.56,1134,1,7.455010397554142,-28.08886821708428,Sj_N0514,2.008886342924534,-2.164143282039768,-0.0341750609707531,-0.0476286829711841,-0.1560915125754536,-0.0237521805093017
3,90.26667996579022,118.78,129.51,155.06,94.2211094702966,146.08,147.63,171.55,70.07797554201247,151.31,152.22,177.37,1135,1,3.322832404226329,-28.171810323368423,P0224,1.2008175530197138,0.6233856874845891,0.0070739458904667,0.0331056133381809,-0.9763822774793032,-0.1084106108286455
4,62.70337254891504,130.93,139.74,157.0,69.03398636374627,159.7,155.82,170.14,54.35549974483479,180.56,164.44,172.5,1136,1,2.519943910491208,-27.718919256792145,Sj_M0051,0.9242366435340406,-6.462498794070553,-0.0942232169596511,2.930603462017733e-05,-1.2651851619640058,0.3427641317124319
5,60.787246201886575,145.68,144.6,172.35,69.15173206571208,175.02,161.89,181.39,51.1444340476776,193.2,170.87,188.95,1137,1,16.436680435112134,-28.287761727792574,513069.19,2.7995154492341,-1.4273670551946855,0.0573106667335377,0.0307956776476505,0.5978716687370227,-0.2277946633232019
6,70.24850887483754,127.76,135.34,166.22,69.60605158877682,168.72,164.98,184.92,61.21114035529752,186.34,173.49,190.08,1139,1,21.78047982523409,-27.79457210213269,513068.04,3.081014147805492,8.753286468841459,0.3947722525289424,-0.0051432773322085,0.8549264173103541,0.261962314266281
7,58.87837715024795,130.73,135.38,154.97,62.87414798393856,160.45,155.11,173.1,46.9240716260808,216.89,178.26,176.3,1140,1,4.523760234991983,-28.320115310937773,NOS_511014.06,1.5093435583949375,-2.147919041438935,-0.0175988170222894,0.0074158352447919,-0.7289661470992297,-0.2652972185740019
8,53.10929476737934,132.47,132.32,146.22,59.555688326552975,134.55,137.62,147.85,43.645610737329775,155.62,150.24,169.53,1141,1,11.21598281102414,-28.39751931068597,Mariboss,2.417339797750416,-4.251699544867446,-0.1230849340222435,0.0163271008625363,0.1668081172572177,-0.3444175423574016
9,65.4576617933491,138.02,135.79,150.99,67.66831253570945,144.17,145.57,171.63,50.275786087429154,156.42,153.13,176.46,1142,1,7.333033825482859,-28.71290837338232,513161.06,1.99238932187654,0.8832592153352411,0.1349454650612818,0.0029111460052535,-0.2703643336156875,-0.661522929088953
10,67.93296664770405,125.36,129.95,151.4,57.601064620329126,135.79,142.18,157.88,50.66453871781464,141.7,144.3,166.74,1143,1,11.602315461531624,-28.190783545542104,Sj_N0503,2.451204686945869,-4.654013136632916,-0.1602300390160386,-0.0513473113758819,0.17622905645461,-0.1411144252839378
11,54.25140560910394,118.58,126.6,142.32,63.45793239156561,130.75,139.73,165.1,45.871831798517306,144.05,146.52,179.06,1144,1,11.41237195836725,-27.300892010553504,LG_Quadrant,2.4346980264379736,-2.239804055190909,-0.1505815209775231,-0.065393938145077,0.1475004209476855,0.7470607856694613
12,37.10822486470676,116.71,122.45,140.27,38.693389241324894,129.04,141.9,175.84,33.687132580919666,129.31,142.84,180.63,1145,1,18.4456767286562,-27.515060265015144,Canon,2.9148300193783894,-0.0109262818291188,0.0511980718841938,-0.0493795593104755,0.615410438889072,0.5311762071726172
13,59.65930436423575,120.0,124.13,143.37,66.54467350232,132.19,141.31,180.4,50.60473023058485,135.72,145.74,185.86,1146,1,50.70634327163461,-28.05609618234473,Informer,3.9260510166100007,-3.817863761468347,-0.0588285286139511,0.0104986109101684,1.6144094611216522,-0.0115760341921706
14,57.32516806317028,115.82,124.0,140.64,61.1318642638479,131.31,140.29,172.6,45.79259101549309,144.06,149.04,174.78,1147,1,9.182020950788488,-27.635598134995625,513162.27,2.217247327548288,-3.7487362918796174,-0.0768281755209753,-0.0643771157262054,-0.1066162029390898,0.407205689121735
15,59.31745564663683,124.34,132.23,160.28,70.84505868099092,138.02,144.29,170.34,39.64729571208281,129.12,136.87,163.26,1148,1,6.114101359134144,-28.42853204009092,P0174,1.8105978015343895,-2.6938509482173805,0.0191243257118963,-0.0370369661617629,-0.5254877039520194,-0.3874445400087616
16,53.94907429895953,131.75,133.89,153.77,48.39639341606621,135.51,138.83,150.63,43.37929488355831,123.23,129.83,151.1,1150,1,9.854709308506616,-28.1878813348124,Kaldi,2.287949443315925,-5.306090864208342,-0.2355927674942663,-0.1458999173262111,-0.0725800121685442,-0.1502264828006438
17,52.97272965748883,140.53,141.0,167.53,46.64738821376956,151.79,151.48,174.1,42.89699101811786,147.58,149.92,176.27,1151,1,2.3054875939507804,-28.10671167755896,WW5950_/_Sj_N1069,0.83529219158347,-5.112295874682257,-0.278676586525708,-0.0643582522929318,-1.5374592389000288,-0.0707731495824042
18,46.14013598854759,114.43,121.21,137.54,61.06347322063351,150.94,149.36,158.95,56.40528015968598,142.33,147.43,169.72,1152,1,7.845830512806048,-28.18077410871828,P1091,2.0599822458214434,-5.537780001028256,-0.1495234594060296,-0.0259075302739006,-0.3249911596610864,-0.1465519047769241
19,63.481224626145135,112.89,119.76,139.87,54.22640094406752,105.71,117.73,138.28,53.06868912046064,111.97,120.16,138.65,1153,1,2.0616671642149087,-28.68984161576389,Oakley,0.723514958509332,-3.91962237308761,-0.2568236864455564,-0.0147520046915843,-1.673680421972227,-0.657335735857739
20,62.56766419799138,138.4,138.42,148.7,64.53686698387355,142.38,144.84,166.67,56.66649390530138,144.2,147.18,172.91,1154,1,6.463783733008045,-28.123979497584948,NOS_511167.10,1.8662148635130589,1.2294249744333745,-0.0212248488481942,-0.090996197418904,-0.5432024919675313,-0.093189941713998
21,41.94822241910009,102.01,115.49,134.2,50.12691391588952,127.09,137.15,151.47,36.44391846868168,128.37,138.76,157.12,1156,1,5.673496906929056,-27.62604233231961,Sj_L632,1.7358056660701306,-0.8606608139205286,-0.1562533500770619,0.0281024837157014,-0.6980556394085182,0.4013145754809386
22,72.7872038929097,115.15,124.07,142.91,71.71445032200364,132.75,141.88,169.46,61.46389082038902,133.94,142.63,172.27,1157,1,5.79401856095351,-28.711158035328065,P0171,1.7568261028203689,-2.5627243379275764,-0.0206487537993127,-0.0087988740391203,-0.6892571776573111,-0.6855174515627205
23,68.02609499306509,109.51,119.14,142.93,62.11634357037702,131.62,137.81,156.56,50.95797874931303,121.58,132.2,162.62,1158,1,14.83467815433956,-28.120255421494925,WW6160_/_Sj_N0800,2.6969675584848334,-11.589566607312458,-0.4411969443216035,-0.0335049924801235,0.238662303008124,-0.0963311617647804
24,68.91550621780821,107.42,117.54,139.56,61.19296838543114,129.08,135.08,159.02,45.984177689949554,116.08,126.05,149.39,1159,1,8.47313409642892,-27.92638377440265,Drachmann,2.136900463413401,-0.375897620252191,-0.2454469306372097,0.0080539522692448,-0.3336267670623396,0.0958241612922918
25,51.42784912530928,109.49,121.0,144.83,51.96678924237439,129.07,136.48,162.63,28.104077359727047,119.55,131.72,164.1,1160,1,6.572578392621312,-27.574558153250564,P0283,1.882906204918028,-3.5084424449320477,-0.1975603413628893,-0.0098997031484033,-0.5998430005567417,0.4459334584091792
26,83.83593200359185,127.42,131.55,153.92,76.25145586556947,133.56,140.42,161.95,41.06689493044499,134.26,143.07,177.84,1162,1,4.461637015400926,-27.855683771072684,NOS_511016.09,1.495515742499738,-0.0368451591951152,-0.0230227199463063,0.059787442227645,-1.011677412973092,0.1613751925166546
27,74.33099809524178,113.4,121.28,134.71,78.95248661046094,130.98,139.32,166.31,54.16683794106351,142.43,146.43,173.95,1163,1,23.83791780002933,-27.78776917956572,513144.04,3.1712774977799403,-2.640944412641301,-0.1739368202519915,-0.0577424959750413,0.651862367308079,0.2275734599884167
28,58.87765445410156,111.68,122.37,136.25,71.01511383577281,136.01,143.69,164.81,44.36598608404212,161.67,160.08,177.9,1164,1,7.182335847587595,-28.24326611560631,Sj_M0471,1.971624657114852,-3.852299968270208,-0.1658338144794276,-0.0664002043871385,-0.5600124483560387,-0.2296398000873729
29,52.828299319835,114.12,123.09,144.62,54.782546806903696,127.91,138.64,162.32,45.62364659429458,132.97,142.81,174.42,1165,1,13.464876736067543,-27.97323977962549,Kvium,2.60008457182638,-2.186995120106332,-0.0986865756552236,-0.0067849876784494,0.0562254913564599,0.0386702118582427
30,71.61333085841358,127.25,136.26,164.84,73.52503642112727,155.57,156.9,182.59,59.11712588912647,151.86,156.14,190.83,1166,1,6.183576177340419,-28.479401096405105,KWS_Extase,1.8218967735775424,-2.0290909839550286,0.0027000306595604,0.0660266212721968,-0.7341842818914086,-0.4692074289565724
31,65.59145331548778,139.61,129.8,142.81,53.51929127444344,152.37,133.31,143.75,42.400137476550334,232.07,168.52,174.7,1167,1,23.270906525409902,-27.87128649493508,P0705,3.147203933384363,-1.25505875291194,-0.1141054024735049,-0.0046911676829692,0.5789009029163825,0.1371908484782515
32,79.00826965455822,120.51,129.42,153.88,92.32089131128572,152.94,154.43,188.47,57.78819757804236,161.46,161.35,194.89,1168,1,28.522111156395027,-28.197703451350225,513029.04,3.350679616522991,-9.15235478427433,0.0937841461392595,0.0122659601539988,0.7701546110559794,-0.1909424319720933
33,81.47389937970023,142.24,142.46,166.89,91.99934737866216,143.17,148.78,174.27,71.07061839199743,162.24,159.04,182.18,1169,1,10.482210809912743,-28.44700948173682,KWS_Zyatt,2.3496796117893344,-1.4908203895364265,-0.0173920228562283,0.0280866795328451,-0.2430673686767064,-0.4419647863938891
34,82.29239784114746,150.54,146.59,170.28,91.05724059831778,160.06,155.25,175.06,55.954571806393865,165.04,161.06,184.77,1170,1,4.486934312502656,-27.817754362694416,Chevignon,1.5011696873731275,3.3634021655075053,0.0756628297364729,-0.0102914633256797,-1.1037992680919444,0.1855740086133117
