,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N
1,63.68730482950613,125.62,136.32,161.14,75.81912542727804,149.22,155.56,184.94,59.709073063169456,159.93,161.76,188.06,1132,1,9.72335353706746,-27.75144699346963,LG_Initial,2.274530573070259
2,65.01149125176488,129.68,133.85,161.02,79.95377137980981,141.43,148.09,177.08,65.74276449317779,154.46,155.76,181.69,1133,1,2.231120652985433,-27.230850536536217,P1083,0.8025039942146627
3,74.65477404197752,141.79,138.77,157.31,78.36659619287222,148.01,147.24,171.06,55.88325838885097,152.24,151.68,180.56,1134,1,7.455010397554142,-28.088868217084276,Sj_N0514,2.008886342924534
4,90.26667996579022,118.78,129.51,155.06,94.2211094702966,146.08,147.63,171.55,70.07797554201247,151.31,152.22,177.37,1135,1,3.322832404226329,-28.171810323368426,P0224,1.2008175530197138
5,62.70337254891504,130.93,139.74,157.0,69.03398636374627,159.7,155.82,170.14,54.35549974483479,180.56,164.44,172.5,1136,1,2.519943910491208,-27.718919256792145,Sj_M0051,0.9242366435340406
6,60.787246201886575,145.68,144.6,172.35,69.15173206571208,175.02,161.89,181.39,51.1444340476776,193.2,170.87,188.95,1137,1,16.436680435112134,-28.287761727792578,513069.19,2.7995154492341
8,70.24850887483754,127.76,135.34,166.22,69.60605158877682,168.72,164.98,184.92,61.21114035529752,186.34,173.49,190.08,1139,1,21.78047982523409,-27.79457210213269,513068.04,3.081014147805492
9,58.87837715024795,130.73,135.38,154.97,62.87414798393856,160.45,155.11,173.1,46.9240716260808,216.89,178.26,176.3,1140,1,4.523760234991983,-28.320115310937773,NOS_511014.06,1.5093435583949375
10,53.10929476737934,132.47,132.32,146.22,59.555688326552975,134.55,137.62,147.85,43.645610737329775,155.62,150.24,169.53,1141,1,11.21598281102414,-28.397519310685972,Mariboss,2.417339797750416
11,65.4576617933491,138.02,135.79,150.99,67.66831253570945,144.17,145.57,171.63,50.275786087429154,156.42,153.13,176.46,1142,1,7.333033825482859,-28.71290837338232,513161.06,1.9923893218765396
12,67.93296664770405,125.36,129.95,151.4,57.601064620329126,135.79,142.18,157.88,50.66453871781464,141.7,144.3,166.74,1143,1,11.602315461531623,-28.190783545542104,Sj_N0503,2.451204686945869
13,54.25140560910394,118.58,126.6,142.32,63.45793239156561,130.75,139.73,165.1,45.871831798517306,144.05,146.52,179.06,1144,1,11.41237195836725,-27.300892010553504,LG_Quadrant,2.4346980264379736
14,37.10822486470676,116.71,122.45,140.27,38.693389241324894,129.04,141.9,175.84,33.687132580919666,129.31,142.84,180.63,1145,1,18.445676728656196,-27.515060265015144,Canon,2.9148300193783894
15,59.65930436423575,120.0,124.13,143.37,66.54467350232,132.19,141.31,180.4,50.60473023058485,135.72,145.74,185.86,1146,1,50.70634327163461,-28.05609618234473,Informer,3.9260510166100007
16,57.32516806317028,115.82,124.0,140.64,61.1318642638479,131.31,140.29,172.6,45.79259101549309,144.06,149.04,174.78,1147,1,9.182020950788488,-27.635598134995625,513162.27,2.2172473275482876
17,59.31745564663683,124.34,132.23,160.28,70.84505868099092,138.02,144.29,170.34,39.64729571208281,129.12,136.87,163.26,1148,1,6.114101359134144,-28.42853204009092,P0174,1.8105978015343898
18,53.94907429895953,131.75,133.89,153.77,48.39639341606621,135.51,138.83,150.63,43.37929488355831,123.23,129.83,151.1,1150,1,9.854709308506616,-28.187881334812396,Kaldi,2.2879494433159255
19,52.97272965748883,140.53,141.0,167.53,46.64738821376956,151.79,151.48,174.1,42.89699101811786,147.58,149.92,176.27,1151,1,2.3054875939507804,-28.106711677558962,WW5950_/_Sj_N1069,0.83529219158347
20,46.14013598854759,114.43,121.21,137.54,61.06347322063351,150.94,149.36,158.95,56.40528015968598,142.33,147.43,169.72,1152,1,7.845830512806048,-28.180774108718282,P1091,2.0599822458214434
21,63.481224626145135,112.89,119.76,139.87,54.22640094406752,105.71,117.73,138.28,53.06868912046064,111.97,120.16,138.65,1153,1,2.0616671642149087,-28.68984161576389,Oakley,0.723514958509332
22,62.56766419799138,138.4,138.42,148.7,64.53686698387355,142.38,144.84,166.67,56.66649390530138,144.2,147.18,172.91,1154,1,6.463783733008045,-28.123979497584948,NOS_511167.10,1.8662148635130589
23,41.94822241910009,102.01,115.49,134.2,50.12691391588952,127.09,137.15,151.47,36.44391846868168,128.37,138.76,157.12,1156,1,5.6734969069290555,-27.62604233231961,Sj_L632,1.7358056660701306
24,72.7872038929097,115.15,124.07,142.91,71.71445032200364,132.75,141.88,169.46,61.46389082038902,133.94,142.63,172.27,1157,1,5.79401856095351,-28.711158035328065,P0171,1.7568261028203689
25,68.02609499306509,109.51,119.14,142.93,62.11634357037702,131.62,137.81,156.56,50.95797874931303,121.58,132.2,162.62,1158,1,14.83467815433956,-28.120255421494925,WW6160_/_Sj_N0800,2.6969675584848334
26,68.91550621780821,107.42,117.54,139.56,61.19296838543114,129.08,135.08,159.02,45.984177689949554,116.08,126.05,149.39,1159,1,8.47313409642892,-27.92638377440265,Drachmann,2.136900463413401
